fill,lumi,nbx,SBIL,SBILerr,HFOCsig,HFOC err,HFOC FOM,HFOCFOMERR
7127,149.721,2544,1.935030585,21.86248178,819.3084277,4.556649506,0.981207698,0.005457065
7128,150.234,2544,6.479522898,62.35985648,835.2828013,2.227192006,1.000338684,0.002667296
7131,150.566,2544,6.546958702,75.03445872,841.5014667,2.191537749,1.007786188,0.002624596
7132,151.005,2544,6.027276976,46.58093562,825.4279137,2.377650359,0.988536424,0.002847485
7133,151.29,2544,6.501498564,74.27429737,832.6891163,2.376929968,0.997232475,0.002846623
7135,151.481,2544,6.59590872,47.15377553,829.8358297,2.432431318,0.993815365,0.002913091
7135,151.481,2544,4.451255006,32.00092211,841.1044726,2.922950076,1.007310746,0.003500539
7137,151.668,2544,6.864582557,67.30292634,827.4329957,2.351742685,0.990937719,0.002816458
7137,151.668,2544,1.77194915,27.7086772,815.0423492,4.75499159,0.976098622,0.005694601
7139,152.178,2544,5.911658005,43.71820087,826.6860947,2.402461613,0.990043227,0.0028772
7139,152.178,2544,1.818303647,23.70893759,815.7185971,4.38616816,0.9769085,0.005252896
7144,152.665,2544,7.168121025,52.90757838,832.2450716,2.434373312,0.996700685,0.002915417
7145,153.097,2544,6.030912013,68.07435728,827.7734013,2.303310038,0.991345391,0.002758455
7211,153.509,62,5.201926377,10.84716642,730.4781908,2.419986923,0.874824181,0.002898188
7211,153.509,62,4.405125613,8.16800393,751.882199,2.695711652,0.900457723,0.003228397
7212,153.514,590,7.140463027,34.59007203,803.6078367,2.241439349,0.962404595,0.002684359
7212,153.514,590,5.147102116,26.30383459,837.0533317,2.863019768,1.00245908,0.003428766
7217,153.717,2544,6.284967248,69.80785245,830.4021371,2.411683034,0.994493577,0.002888243
7217,153.717,2544,2.867594979,36.90575608,820.4769393,3.696250918,0.982607113,0.004426648
7218,154.122,2544,5.729829907,53.72014011,829.7734749,2.430154242,0.993740688,0.002910364
7218,154.122,2544,2.125504917,24.60675636,814.5787157,4.114335286,0.975543372,0.004927348
7220,154.574,9,3.519798797,4.056723265,792.628223,3.137974485,0.949255357,0.003758053
7220,154.574,9,3.054818312,3.996508646,798.9152958,1.156343743,0.956784785,0.001384843
7221,154.575,2544,5.520309983,54.07748552,829.9173607,2.490813407,0.993913007,0.00298301
7221,154.575,2544,1.384111231,33.63809069,816.3894596,4.813071233,0.977711928,0.005764157
7234,155.111,2544,5.690571582,50.42385872,835.5793465,2.335249844,1.000693828,0.002796706
7234,155.111,2544,1.596485802,17.55502278,821.6419503,4.595651724,0.984002336,0.005503775
7236,155.611,2544,5.810212454,44.61710805,830.7361123,2.297392727,0.994893548,0.002751369
7239,156.026,2544,6.157782701,57.38911473,835.4485459,2.275448742,1.000537181,0.002725088
7240,156.341,2544,6.269276719,52.3063602,835.7195931,2.41746407,1.000861788,0.002895167
7242,156.681,2544,6.348168582,57.20048806,834.2677218,2.404467681,0.99912302,0.002879602
7245,156.996,2544,5.811674626,51.53854222,832.1670833,2.307888036,0.996607285,0.002763938
7245,156.996,2544,3.701141875,34.3894543,825.3173091,3.188303286,0.988403963,0.003818327
7252,157.267,2544,6.617510571,44.49635513,830.3256202,2.278813201,0.99440194,0.002729118
7253,157.738,2544,7.153629276,60.18956985,838.2336485,2.425124079,1.003872633,0.00290434
7256,158.07,2544,6.769594454,56.83404377,824.8447017,2.215553134,0.987837966,0.002653357
7256,158.07,2544,3.021054382,28.38834095,834.4995254,3.563346047,0.999400629,0.00426748
7264,158.952,2544,6.28567801,42.01659164,829.5294434,2.420406249,0.993448435,0.00289869
7271,160.534,2544,6.503406155,55.09147971,831.9975245,2.513586667,0.996404221,0.003010283
7274,160.732,2544,6.290954575,53.93875064,834.6799231,2.360635122,0.999616674,0.002827108
7274,160.732,2544,4.004506963,79.10215602,834.8563868,3.057969798,0.999828008,0.003662239
7308,160.992,590,7.37761568,38.79657963,837.734596,2.432623495,1.003274965,0.002913322
7308,160.992,590,6.212186017,34.73878776,866.6599014,2.823963524,1.03791605,0.003381992
7309,161.025,2544,6.520840568,66.01820484,834.5736027,2.283489151,0.999489345,0.002734718
7309,161.025,2544,1.385721285,26.17127628,820.9099419,5.129870899,0.983125679,0.006143558
7310,161.559,2544,5.899958315,57.10409505,841.5124341,2.379968879,1.007799322,0.002850262
7310,161.559,2544,1.743861599,23.49214362,820.3019085,4.31123198,0.982397495,0.005163152
7314,162.011,2544,6.398919414,56.85787553,831.7843196,2.192586896,0.996148886,0.002625853
7314,162.011,2544,1.423764464,25.08025241,826.0648932,5.171031013,0.989299273,0.006192852
7315,162.561,2544,2.189736924,27.97744743,819.1895851,4.118496243,0.981065371,0.004932331
7317,162.994,2544,6.684343479,61.8630751,832.6621658,2.381345797,0.997200199,0.002851911
7320,163.051,2544,5.576986997,48.16204222,860.0435495,2.509168712,1.029992275,0.003004992
7320,163.051,2544,1.323819577,15.98667367,817.1600871,5.170652713,0.978634835,0.006192398
7321,163.598,2544,5.702995861,55.76565158,830.1315031,2.322458479,0.994169465,0.002781387
